"id","Strain 1","Strain 2","Strain 3"
10126733978,"Sour D","Lemon Meringue","Lemon venom"
10126035643,"sweet tooth","rocklock","mimosa"
10125660446,"Amnesia Haze","G13","Gorilla Glue"
10125621638,"Sour Diesel","Lemon Meringue","Pineapple Express"
10125620500,"G13","Amnesia Haze","Skywalker Kush"
10125601130,"Lemon meringue","Tangerine haze","Mr clean"
10125116791,"Sour Diesel","Meltdown","Gelato"
10124391189,"Banana Split","Meltdown","Purple Punch"
10124134547,"Biodiesel ","Purple glue","Star dawg"
10124127866,"Bruce Banner","Pennywise (RIP)","Jack Frost"
10123773788,"indaca","sativa",""
10123639036,"Tangie","CBD flower","Blue dream"
10122920497,"Jillybean","Blueberry","Gelato"
10122842004,"Oh kush","Gg4","Black mamba"
10122684600,"Sour banana sherbet","Bootylicious","Grape God"
10122408625,"Bubba Kush","Purple Glue","GG#4"
10122324135,"Bootylicious","Gg#4","Gsc"
10122299806,"Blue Dream","Bruce Banner","Sweet Tooth"
10122286554,"Star Dawg","Ghost train haze","facewreck"
10122147592,"Srawdawg","Lemon meragu","Purple dog"
10118977465,"Blue Haze","Potato","Ninja"
