"id","Smoke flower","Vape flower","Vape cartridges","Edibles (e.g. gummies, chocolate, lozenges, beverages, cooking oils, etc.)","Concentrates (e.g. rosin, shatter, wax, hash, kief)","Tinctures","Salves/topicals","Transdermal patches","Suppositories","Capsules"
10868495105,"","","","201- 500 mg","","","","","","201- 500 mg"
10767176517,"","","","","","","","","",""
10760373939,"","","","","","","","","",""
10758288741,"","","","","","","","","",""
10719755952,"","","","","","","","","",""
10716623034,"","","","","","","","","",""
10699810522,"","","","","","","","","",""
10671009796,"","","","51-100 mg","","","","","",""
10659241585,"","","","6-25 mg","","","","","","6-25 mg"
10647255505,"","","","I don't know how much I use per week","","","","","",""
10607782752,"","","","","","","","","",""
10598306507,"","","","6-25 mg","","","","","",""
10581017097,"","","","","","","","","",""
10575479401,"","","","","","","","","",""
10574111964,"","","","","","","","","",""
10569513731,"","","","","","","","","",""
