"id","Smoke flower","Vape flower","Vape cartridges","Edibles (e.g. gummies, chocolate, lozenges, beverages, cooking oils, etc.)","Concentrates (e.g. rosin, shatter, wax, hash, kief)","Tinctures","Salves/topicals","Transdermal patches","Suppositories","Capsules"
11183903124,"","","","","","","","","",""
11170108737,"","","","I don't know how much I use per week","","","","","",""
11166997346,"","","","","","","","","",""
11166474867,"","","","","","","","","",""
11166390085,"","","","101-200 mg","","","","","","101-200 mg"
11166384877,"","","","","","","","","",""
11161813510,"","","","26-50 mg","","","","","",""
11156698544,"","","","101-200 mg","","","","","",""
11156548224,"","","","201- 500 mg","","","","","",""
11138930846,"","","","","","","","","",""
11138400653,"","","","51-100 mg","","","","","",""
11138361963,"","","","51-100 mg","","","","","",""
11137652132,"","","","51-100 mg","","","","","","26-50 mg"
11137625236,"","","","26-50 mg","","","","","",""
11137541759,"","","","","","","","6-25 mg","",""
10675097210,"","","","26-50 mg","","","","","",""
10668312322,"","","","","","","","","",""
10662496256,"","","","","","","","","",""
10661330404,"","","","","","","","","",""
10660833205,"","","","51-100 mg","","","","","",""
10660294275,"","","","6-25 mg","","","","","",""
10659841121,"","","","","","","","","",""
10658774056,"","","","","","","","","","26-50 mg"
10658741910,"","","","","","","","","",""
10658649988,"","","","I don't know how much I use per week","","","","","",""
10658580372,"","","","101-200 mg","","","","","",""
10658577550,"","","","","","","","","",""
10658550964,"","","","1000+ mg","","","","","",""
10602936383,"","","","201- 500 mg","","","","","",""
10581447651,"","","","I don't know how much I use per week","","","","","","I don't know how much I use per week"
10580913646,"","","","101-200 mg","","","","","",""
10579927077,"","","","","","","","","",""
