"id","Smoke flower","Vape flower","Vape cartridges","Edibles (e.g. gummies, chocolate, lozenges, beverages, cooking oils, etc.)","Concentrates (e.g. rosin, shatter, wax, hash, kief)","Tinctures","Salves/topicals","Transdermal patches","Suppositories","Capsules"
11222559871,"","","","","","","","","",""
11220644956,"","","","","","","","","",""
11214928564,"","","","I don't know how much I use per week","","","","","",""
11166997346,"","","","","","","","","",""
11137664485,"","","","","","","","","",""
11136832253,"","","","51-100 mg","","","","6-25 mg","","6-25 mg"
11135849827,"","","","5 mg","","","","","",""
11135531344,"","","","201- 500 mg","","","","","",""
11135019994,"","","","26-50 mg","","","","","",""
11134799419,"","","","51-100 mg","","","","","",""
11134691787,"","","","51-100 mg","","","","","",""
11134549629,"","","","6-25 mg","","","","","",""
11134526749,"","","","","","","","","","26-50 mg"
11134504342,"","","","","","","","","",""
11129003813,"","","","","","","","","",""
11064342543,"","","","","","","","","",""
11050438627,"","","","","","","","","",""
11044478649,"","","","None","","","","","",""
11023090140,"","","","201- 500 mg","","","","","",""
10952093942,"","","","26-50 mg","","","","","",""
10884768912,"","","","26-50 mg","","","","","",""
10882385979,"","","","501-1000 mg","","","","","",""
10875503972,"","","","51-100 mg","","","","","","6-25 mg"
10875473988,"","","","","","","","","",""
10875458883,"","","","51-100 mg","","","","","",""
10849354793,"","","","201- 500 mg","","","","","",""
10847305299,"","","","","","","","","",""
10847151018,"","","","51-100 mg","","","","6-25 mg","",""
10847076490,"","","","5 mg","","","","","",""
10846997868,"","","","","","","","","",""
10846990356,"","","","None","","","","","",""
10844578211,"","","","I don't know how much I use per week","","","","","",""
10844223289,"","","","201- 500 mg","","","","","",""
10843856498,"","","","None","","","","","",""
10843810346,"","","","5 mg","","","","","",""
10843799997,"","","","6-25 mg","","","","","",""
10842274754,"","","","I don't know how much I use per week","","","","","",""
10839396047,"","","","501-1000 mg","","","","","",""
10832963325,"","","","201- 500 mg","","","","","",""
10832206360,"","","","","","","","","",""
10831931418,"","","","I don't know how much I use per week","","","","","",""
10831669468,"","","","501-1000 mg","","","","","","51-100 mg"
10831397885,"","","","","","","","","",""
10822544735,"","","","","","","","","",""
10764443236,"","","","","","","","","",""
10749570344,"","","","51-100 mg","","","","","",""
10726117373,"","","","","","","","","",""
10675097210,"","","","26-50 mg","","","","","",""
10667425695,"","","","","","","","","",""
10667398958,"","","","201- 500 mg","","","","","",""
10661330404,"","","","","","","","","",""
10658936778,"","","","201- 500 mg","","","","","",""
10658649988,"","","","I don't know how much I use per week","","","","","",""
10648772348,"","","","1000+ mg","","","","","","501-1000 mg"
10605637047,"","","","I don't know how much I use per week","","","","","",""
10604065323,"","","","6-25 mg","","","","","","51-100 mg"
10596255014,"","","","","","","","","",""
10591451425,"","","","","","","","","",""
10579927077,"","","","","","","","","",""
10578271769,"","","","501-1000 mg","","","","","",""
10576876213,"","","","I don't know how much I use per week","","","","","","501-1000 mg"
10575878347,"","","","6-25 mg","","","","","",""
10572540138,"","","","","","","","","","51-100 mg"
10567016644,"","","","","","","","","",""
11044680699,"","","","","","","","","",""
11037955315,"","","","6-25 mg","","","","","I don't know how much I use per week",""
10628926943,"","","","","","","","","",""
10625261595,"","","","","","","","","",""
10600284760,"","","","I don't know how much I use per week","","","","","",""
10760373939,"","","","","","","","","",""
10716623034,"","","","","","","","","",""
10647255505,"","","","I don't know how much I use per week","","","","","",""
11249911719,"","","","1000+ mg","","","","","",""
11249860217,"","","","26-50 mg","","","","","","5 mg"
11150766346,"","","","101-200 mg","","","","","",""
11137973158,"","","","","","","","","",""
11135317065,"","","","5 mg","","","","","",""
11135238481,"","","","","","","","","",""
11135087208,"","","","51-100 mg","","","","","",""
11061878386,"","","","","","","","","",""
11033502369,"","","","I don't know how much I use per week","","","","","",""
11006369538,"","","","","","","","","",""
10900800324,"","","","51-100 mg","","","","","",""
10880715177,"","","","26-50 mg","","","","","",""
10878422887,"","","","6-25 mg","","","","","",""
10877375002,"","","","","","","","","",""
10876100377,"","","","I don't know how much I use per week","","","","","",""
10876001530,"","","","51-100 mg","","","","","",""
10875944995,"","","","26-50 mg","","","","","",""
10875529110,"","","","I don't know how much I use per week","","","","","",""
10875460020,"","","","","","","","","",""
10855896441,"","","","","","","","","",""
10850929741,"","","","","","","","","",""
10849214021,"","","","","","","","","",""
10847964940,"","","","","","","","","",""
10847826329,"","","","201- 500 mg","","","","","",""
10843842634,"","","","201- 500 mg","","","","","","I don't know how much I use per week"
10843006971,"","","","I don't know how much I use per week","","","","","",""
10837706698,"","","","","","","","","","101-200 mg"
10832483530,"","","","201- 500 mg","","","","None","","201- 500 mg"
10832167633,"","","","","","","","","",""
10832123166,"","","","None","","","","None","None","None"
10831929904,"","","","I don't know how much I use per week","","","","","",""
10808168894,"","","","","","","","","",""
10681003613,"","","","5 mg","","","","","",""
10677560387,"","","","","","","","","",""
10671153091,"","","","1000+ mg","","","","None","I don't know how much I use per week","None"
10668135000,"","","","","","","","","",""
