"id","response"
11327669448,"30"
10958082921,"22"
10667060651,"40"
10630387074,"61"
10617352263,"41"
10615607693,"32"
10584635591,"22"
10564977420,"31"
10544586314,"25"
10490532265,"26"
10449781605,"40"
10442910474,"65"
10390735914,"49"
10389539123,"31"
10374356525,"44"
10374354669,"36"
10360477263,"35"
10355975067,"35"
10340127453,"24"
10320895144,"45"
10314764856,"57"
10313637005,"29"
10313041082,"33"
10307731360,"63"
10291238913,"51"
10280513706,"49"
10274419066,"44"
10265706943,"29"
10260585584,"34"
10256752506,"31"
10256517627,"28"
10256255317,"29"
10253887260,"67"
10253881475,"29"
10246062891,"49"
10243585697,"30"
10240742122,"49"
10235861140,"21"
10234243108,"23"
10233407885,"48"
10232561621,"50"
10232360437,"58"
10232009660,"29"
10230804869,"21"
10230571912,"66"
10230530276,"52"
10230407442,"45"
10230376575,"66"
10229820907,"35"
10229633882,"69"
10229621245,"56"
10229608780,"56"
10229561917,"66"
10229494604,"46"
10229488647,"12"
10229472013,"67"
10229432345,"67"
10229408873,"60"
10229404289,"35"
10229395392,"70"
10229369078,"54"
10229332529,"58"
10229305110,"39"
10229301563,"32"
10229301530,"73"
10223801994,"56"
10220475020,"27"
10218215849,"30"
10218173945,"40"
10217744665,"55"
10217376832,"49"
10211611510,"29"
10211434776,"45"
10210916402,"30"
10210640265,"30"
10210561964,"30"
10207891021,"25"
10207729722,"39"
10206473134,"32"
10203397138,"48"
10202983474,"34"
10201808150,"22"
10201076986,"21"
10198112398,"23"
10192810731,"49"
10192677147,"60"
10192638212,"48"
10192586963,"31"
10192542738,"39"
10192541090,"39"
10192518925,"59"
10192513890,"40"
10192489339,"37"
10191634878,"29"
10191616641,"26"
10191499790,"45"
10188835145,"42"
10188821355,"38"
10188733674,"45"
10188521969,"33"
10187571266,"28"
10186736515,"36"
10180903610,"44"
10180666815,"50"
10180657381,"27"
10180291383,"55"
10179714310,"29"
10179092808,"29"
10178952613,"31"
10176279610,"65"
10174392415,"32"
10174294235,"35"
10171863955,"26"
10171770881,"29"
10170370957,"55"
10168777404,"69"
10168741975,"29"
10168703624,"37"
10168633491,"39"
10167461882,"20"
10166941347,"31"
10166816483,"35"
10166425536,"40"
10166095333,"30"
10166070277,"60"
10164556386,"22"
10164134618,"64"
10163869931,"40"
10163162820,"55"
10160586191,"22"
10160136536,"61"
10157861557,"30"
10156749143,"37"
10156505734,"28"
10156164985,"43"
10153507665,"55"
10153403072,"26"
10152987696,"34"
10151592531,"37"
10151540038,"30"
10147209030,"30"
10147172908,"38"
10146235500,"67"
10146146224,"61"
10146039671,"29"
10145906026,"64"
10144486255,"35"
10143906427,"43"
10143077190,"56"
10143029353,"35"
10142993231,"43"
10142730928,"30"
10142697202,"52"
10142625629,"71"
10142597211,"41"
10142594370,"59"
10142594072,"45"
10142453509,"26"
10142214540,"37"
10139132658,"32"
10138931674,"36"
10138206762,"53"
10137921188,"49"
10137100957,"31"
10136960446,"36"
10135356461,"41"
10135114465,"42"
10134930830,"42"
10134684832,"50"
10134431722,"32"
10134424429,"34"
10133805034,"33"
10133779899,"14"
10133477675,"28"
10133161650,"26"
10132944471,"28"
10132818474,"27"
10132235608,"21"
10131849213,"39"
10131801703,"49"
10131764296,"32"
10131646744,"52"
10131593777,"41"
10131582698,"62"
10131570320,"28"
10131452305,"24"
10131426326,"28"
10131300085,"39"
10131297032,"25"
10131269258,"36"
10131252823,"30"
10131242201,"65"
10131239512,"36"
10131233757,"61"
10131233475,"41"
10131214477,"37"
10131191189,"22"
10131187127,"64"
10130787672,"56"
10130668887,"44"
10130458387,"30"
10130189844,"52"
10130158929,"35"
10130020477,"37"
10129676432,"33"
10129657579,"40"
10129647412,"42"
10129433706,"30"
10128178320,"30"
10128026830,"30"
10127999637,"67"
10127985597,"42"
10127820444,"50"
10127706116,"25"
10127640409,"56"
10127502019,"24"
10127468488,"31"
10127456257,"62"
10127447594,"29"
10127434115,"56"
10127374223,"65"
10127347345,"23"
10127346623,"30"
10127300620,"54"
10127300314,"60"
10127294443,"21"
10127251708,"34"
10127239067,"35"
10127231694,"36"
10127197108,"25"
10127190570,"47"
10127180821,"59"
10127179828,"40"
10127177091,"54"
10127162272,"40"
10127160872,"61"
10127158548,"61"
10127156717,"26"
10127155757,"32"
10127036495,"36"
10126882145,"34"
10126315016,"38"
10125692008,"61"
10125565226,"47"
10125413527,"37"
10125226319,"40"
10124535755,"27"
10124373549,"41"
10124369213,"51"
10124311786,"30"
10124193021,"36"
10122742896,"58"
10121675492,"44"
10120941745,"27"
10120105927,"29"
10119017610,"72"
10118350185,"37"
10117816882,"39"
10117806489,"34"
10116528519,"39"
10116480749,"55"
10115125310,"50"
10114404591,"40"
10114267357,"62"
10114212199,"92"
10113911131,"28"
10113758110,"59"
10113037715,"39"
