" ""On average, how much do you pay (in US dollars) for your medications on a monthly basis out of pocket?""",,,,,,,,
,,,,,,,,
Respondent ID,Open-Ended Response,,,,,,Average =,98.40353982
11208627585,2000,,,,,,,
10848597634,1500,,,,,,,
10840178037,1500,,,,,,,
11166893092,1400,,,,,,,
10847042555,1200,,,,,,,
11150766346,1000,,,,,,,
11076823569,1000,,,,,,,
10834663571,1000,,,,,,,
10676786628,1000,,,,,,,
10576876213,1000,,,,,,,
10667647030,900,,,,,,,
11179999382,800,,,,,,,
10880798060,800,,,,,,,
10579646891,800,,,,,,,
11238558967,700,,,,,,,
10972364151,700,,,,,,,
10831669468,700,,,,,,,
10675303210,700,,,,,,,
10659841121,700,,,,,,,
11249860217,600,,,,,,,
11006369538,600,,,,,,,
10832123166,600,,,,,,,
10614375447,600,,,,,,,
10572540138,600,,,,,,,
11239077222,500,,,,,,,
11239041530,500,,,,,,,
11061509902,500,,,,,,,
10892827041,500,,,,,,,
10864944007,500,,,,,,,
10859079118,500,,,,,,,
10844291789,500,,,,,,,
10836382971,500,,,,,,,
10686658652,500,,,,,,,
10658936778,450,,,,,,,
10877478788,440,,,,,,,
11215609540,400,,,,,,,
11045739846,400,,,,,,,
11044478649,400,,,,,,,
10985275093,400,,,,,,,
10850929741,400,,,,,,,
10843917537,400,,,,,,,
10841078256,400,,,,,,,
10841050682,400,,,,,,,
10832133946,400,,,,,,,
10831948842,400,,,,,,,
10749222846,400,,,,,,,
10668361624,400,,,,,,,
10581933788,400,,,,,,,
10578271769,400,,,,,,,
10581017097,400,,,,,,,
11170108737,350,,,,,,,
10849691686,350,,,,,,,
10845744369,350,,,,,,,
10843842634,350,,,,,,,
10843000999,350,,,,,,,
11135019994,300,,,,,,,
11091792560,300,,,,,,,
10867323115,300,,,,,,,
10860154215,300,,,,,,,
10847737322,300,,,,,,,
10844223289,300,,,,,,,
10839396047,300,,,,,,,
10833417544,300,,,,,,,
10686863888,300,,,,,,,
10658580372,300,,,,,,,
10595615049,300,,,,,,,
11044680699,300,,,,,,,
11136795358,250,,,,,,,
11135778856,250,,,,,,,
11135727852,250,,,,,,,
10876336346,250,,,,,,,
10570146744,250,,,,,,,
10956719648,250,,,,,,,
11166390085,200,,,,,,,
10923325388,200,,,,,,,
10894995749,200,,,,,,,
10892190679,200,,,,,,,
10875503972,200,,,,,,,
10870148985,200,,,,,,,
10861388917,200,,,,,,,
10847076490,200,,,,,,,
10844578211,200,,,,,,,
10762649964,200,,,,,,,
10709051382,200,,,,,,,
10609850764,200,,,,,,,
10589179962,200,,,,,,,
